,X,Germination.Date,Date,germ,Treatment,Lemur_Species,Plant_Species_Common_Name,Length_log
170,170,9/13/23,9/6/23,1,Gut-passed,L. catta,Solanum lycopersicum,1.553925203
171,171,9/13/23,9/6/23,1,Gut-passed,L. catta,Solanum lycopersicum,1.58514522
172,172,10/25/23,9/6/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.875468737
173,173,9/13/23,9/6/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.989541194
174,174,9/13/23,9/6/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.970778917
175,175,9/13/23,9/6/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,1.011600912
176,176,9/27/23,9/6/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.943905899
177,177,10/25/23,9/6/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.940007258
178,178,9/13/23,9/6/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.993251773
179,179,9/27/23,9/6/23,1,"Gut-passed, Washed",L. catta,Solanum lycopersicum,1.460937904
180,180,4/12/23,3/29/23,1,Gut-passed,NA,Selenicereus undatus,0.741937345
181,181,4/25/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.837247525
182,182,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Cucurbita moschata,2.678278043
183,183,4/25/23,3/29/23,1,Gut-passed,E. flavifrons,Solanum lycopersicum,1.574846468
184,184,4/7/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.797507196
185,185,4/5/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Cucurbita moschata,2.634762405
186,186,4/5/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Cucurbita moschata,2.508785924
187,187,4/19/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Solanum lycopersicum,1.425515074
188,188,4/25/23,3/29/23,1,Gut-passed,E. flavifrons,Solanum lycopersicum,1.481604541
189,189,4/5/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Cucurbita moschata,2.653241965
190,190,4/5/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Cucurbita moschata,2.554899022
191,191,4/5/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Solanum lycopersicum,1.381281819
192,192,4/5/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Solanum lycopersicum,1.423108334
193,193,4/19/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.815364813
194,194,4/21/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.806475866
195,195,4/19/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.683096845
196,196,4/25/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.672944473
197,197,4/12/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.625938431
198,198,3/29/23,3/24/23,1,Control,*Control,Cucurbita moschata,2.550226116
199,199,3/29/23,3/24/23,1,Control,*Control,Cucurbita moschata,2.375835555
200,200,3/31/23,3/24/23,1,Control,*Control,Cucurbita moschata,2.363680192
201,201,3/29/23,3/24/23,1,Control,*Control,Cucurbita moschata,2.411439498
202,202,5/3/23,3/24/23,1,Control,*Control,Cucurbita moschata,2.610069793
203,203,3/29/23,3/24/23,1,Control,*Control,Cucurbita moschata,2.517696473
204,204,4/21/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.737164066
205,205,4/25/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.837247525
206,206,4/5/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Cucurbita moschata,2.630448955
207,207,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.824175443
208,208,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.815364813
209,209,4/19/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.78845736
210,210,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.708035793
211,211,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.717839793
212,212,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.854415328
213,213,4/19/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.712949808
214,214,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.717839793
215,215,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.770108222
216,216,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.779324877
217,217,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.806475866
218,218,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.858661619
219,219,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Solanum lycopersicum,1.515127233
220,220,4/5/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.741937345
221,221,4/12/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.858661619
222,222,4/14/23,3/29/23,1,Gut-passed,E. flavifrons,Oxycoccus macrocarpus,0.693147181
223,223,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.774727168
224,224,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.806475866
225,225,4/19/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.779324877
226,226,4/14/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.770108222
227,227,4/25/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.792992516
228,228,4/14/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.832909123
229,229,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.819779831
230,230,4/5/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.841567186
231,231,5/10/23,3/29/23,1,Gut-passed,E. flavifrons,Solanum lycopersicum,1.388791241
232,232,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Solanum lycopersicum,1.415853163
233,233,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.765467842
234,234,4/25/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.819779831
235,235,4/25/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.770108222
236,236,4/25/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.862889955
237,237,4/21/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.75612198
238,238,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.810930216
239,239,4/7/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.770108222
240,240,4/7/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.770108222
241,241,4/19/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.751416089
242,242,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.751416089
243,243,4/21/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.722705983
244,244,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.887891257
245,245,4/25/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.683096845
246,246,4/19/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.867100488
247,247,4/7/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.717839793
248,248,4/14/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.712949808
249,249,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.732367894
250,250,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.770108222
251,251,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.815364813
252,252,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.806475866
253,253,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.770108222
254,254,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.688134639
255,255,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.732367894
256,256,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.741937345
257,257,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.741937345
258,258,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.783901544
259,259,4/12/23,3/29/23,1,Gut-passed,E. flavifrons,Selenicereus undatus,0.783901544
260,260,4/14/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.746687947
261,261,4/19/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.819779831
262,262,4/12/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.78845736
263,263,4/12/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.708035793
264,264,4/19/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.797507196
265,265,4/14/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.828551818
266,266,4/12/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.854415328
267,267,4/19/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.698134722
268,268,4/19/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.760805829
269,269,4/12/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.854415328
270,270,4/19/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.797507196
271,271,4/12/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.806475866
272,272,4/12/23,3/29/23,1,"Gut-passed, Washed",E. flavifrons,Selenicereus undatus,0.727548607
