"","Lemur","Plante","L","Treatment","Control","Germination","Sex","Date","GerminationDate","Time"
"287","Eulemur rubriventer","Syzygium",8.31,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-28,34
"288","Eulemur rubriventer","Syzygium",9.66,"Gut Passed, Unwashed","0","0","",2023-07-25,NA,100
"289","Eulemur rubriventer","Syzygium",8.65,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-03,40
"290","Eulemur rubriventer","Syzygium",8.99,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"291","Eulemur rubriventer","Syzygium",8.04,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-03,40
"292","Eulemur rubriventer","Syzygium",7.76,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"293","Eulemur rubriventer","Syzygium",7.31,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-03,40
"294","Eulemur rubriventer","Syzygium",8.19,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-09,46
"295","Eulemur rubriventer","Syzygium",7.96,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-28,34
"296","Eulemur rubriventer","Syzygium",8.38,"Gut Passed, Unwashed","0","0","",2023-07-25,NA,100
