"","Lemur","Plante","L","Treatment","Control","Germination","Sex","Date","GerminationDate","Time"
"38","Eulemur rubriventer","Syzygium",7.16,"Gut Passed, Unwashed","0","1","F",2023-07-04,2023-07-26,22
"39","Eulemur rubriventer","Syzygium",6.41,"Gut Passed, Unwashed","0","0","F",2023-07-04,NA,100
"40","Eulemur rubriventer","Syzygium",5.76,"Gut Passed, Unwashed","0","1","F",2023-07-04,2023-08-16,43
"41","Eulemur rubriventer","Syzygium",8.83,"Gut Passed, Unwashed","0","1","F",2023-07-04,2023-08-25,52
"42","Eulemur rubriventer","Syzygium",5.4,"Gut Passed, Unwashed","0","1","F",2023-07-04,2023-07-26,22
"43","Eulemur rubriventer","Syzygium",7.45,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-10-03,91
"44","Eulemur rubriventer","Syzygium",8.61,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-08-22,49
"45","Eulemur rubriventer","Syzygium",5.86,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-10-03,91
"46","Eulemur rubriventer","Syzygium",6.12,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-08-04,31
"47","Eulemur rubriventer","Syzygium",5.97,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-07-29,25
"48","Eulemur rubriventer","Syzygium",5.43,"Gut Passed, Unwashed","0","0","",2023-07-04,NA,100
"49","Eulemur rubriventer","Syzygium",6.54,"Gut Passed, Unwashed","0","0","",2023-07-04,2024-01-25,100
"50","Eulemur rubriventer","Syzygium",5.26,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-08-16,43
"51","Eulemur rubriventer","Syzygium",6.12,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-07-26,22
"52","Eulemur rubriventer","Syzygium",4.49,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-07-26,22
"53","Eulemur rubriventer","Syzygium",4.86,"Gut Passed, Unwashed","0","0","",2023-07-04,NA,100
"54","Eulemur rubriventer","Syzygium",4.45,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-08-22,49
"55","Eulemur rubriventer","Syzygium",5.5,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-07-26,22
"56","Eulemur rubriventer","Syzygium",6.12,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-08-22,49
"57","Eulemur rubriventer","Syzygium",5.67,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-07-23,19
"58","Eulemur rubriventer","Syzygium",5.51,"Gut Passed, Unwashed","0","1","",2023-07-04,2023-08-10,37
"59","Eulemur albifrons","Syzygium",10.9,"Gut Passed, Unwashed","0","1","",2023-07-05,2023-08-10,36
"60","Eulemur rubriventer","Syzygium",13.19,"Gut Passed, Unwashed","0","1","M",2023-07-06,2023-07-29,23
"61","Eulemur rubriventer","Syzygium",10.8,"Gut Passed, Unwashed","0","1","M",2023-07-06,2023-07-29,23
"62","Eulemur rubriventer","Syzygium",11.78,"Gut Passed, Unwashed","0","1","M",2023-07-06,2023-09-06,62
"63","Eulemur rubriventer","Syzygium",11.81,"Gut Passed, Unwashed","0","1","M",2023-07-06,2023-07-16,10
"64","Eulemur rubriventer","Syzygium",9.91,"Gut Passed, Unwashed","0","1","M",2023-07-06,2023-07-16,10
"65","Eulemur rubriventer","Syzygium",6.24,"Gut Passed, Unwashed","0","1","M",2023-07-06,2023-07-26,20
"66","Eulemur rubriventer","Grewia",9.86,"Gut Passed, Unwashed","0","1","F",2023-07-06,2023-07-20,14
"67","Eulemur rubriventer","Grewia",9.56,"Gut Passed, Unwashed","0","1","F",2023-07-06,2023-07-11,5
"68","Eulemur rubriventer","Grewia",10.56,"Gut Passed, Unwashed","0","1","F",2023-07-06,2023-07-16,10
"69","Eulemur rubriventer","Grewia",9.79,"Gut Passed, Unwashed","0","1","F",2023-07-06,2023-07-20,14
"70","Eulemur rubriventer","Grewia",9.34,"Gut Passed, Unwashed","0","1","F",2023-07-06,2023-07-16,10
"71",NA,"Syzygium",10.71,"Gut Passed, Unwashed","0","0","",2023-07-11,NA,100
"72","Control","Syzygium",10.8,"Control","1","0","",2023-07-11,2023-11-11,100
"73","Control","Syzygium",10.63,"Control","1","0","",2023-07-11,2023-11-17,100
"74","Control","Syzygium",10.24,"Control","1","0","",2023-07-11,2023-11-05,100
"75","Control","Syzygium",11.45,"Control","1","0","",2023-07-11,NA,100
"76","Eulemur rubriventer","Syzygium",9.17,"Gut Passed, Unwashed","0","1","F",2023-07-12,2023-08-22,41
"77","Control","Syzygium",12.95,"Control","1","1","",2023-07-12,2023-07-23,11
"78","Control","Syzygium",14.76,"Control","1","1","",2023-07-12,2023-08-01,20
"79","Control","Syzygium",18.8,"Control","1","1","",2023-07-12,2023-07-20,8
"80","Control","Syzygium",15.2,"Control","1","1","",2023-07-12,2023-07-29,17
"81","Control","Syzygium",16.24,"Control","1","1","",2023-07-12,2023-08-01,20
"82","Eulemur rubriventer","Grewia",10.22,"Gut Passed, Unwashed","0","0","F",2023-07-12,NA,100
"83","Eulemur albifrons","Syzygium",7.68,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-08-01,19
"84","Eulemur albifrons","Syzygium",8.17,"Gut Passed, Unwashed","0","0","",2023-07-13,NA,100
"85","Eulemur albifrons","Syzygium",7.86,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-29,16
"86","Eulemur albifrons","Syzygium",6.04,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-26,13
"87","Eulemur albifrons","Syzygium",7.37,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-26,13
"88","Eulemur albifrons","Syzygium",6.95,"Gut Passed, Unwashed","0","0","",2023-07-13,NA,100
"89","Eulemur albifrons","Syzygium",8.5,"Gut Passed, Unwashed","0","0","",2023-07-13,NA,100
"90","Eulemur albifrons","Syzygium",7.47,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-08-01,19
"91","Eulemur albifrons","Syzygium",9.03,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-26,13
"92","Eulemur albifrons","Syzygium",7.07,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-26,13
"93","Eulemur albifrons","Syzygium",7.79,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-08-04,22
"94","Eulemur albifrons","Syzygium",7.07,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-29,16
"95","Eulemur albifrons","Syzygium",6.47,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-08-01,19
"96","Eulemur albifrons","Syzygium",6.06,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-26,13
"97","Eulemur albifrons","Syzygium",8.32,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-08-01,19
"98","Eulemur albifrons","Syzygium",6.56,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-29,16
"99","Eulemur albifrons","Syzygium",7.61,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-29,16
"100","Eulemur albifrons","Syzygium",6.25,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-26,13
"101","Eulemur albifrons","Syzygium",5.9,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-26,13
"102","Eulemur albifrons","Syzygium",8.59,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-26,13
"103","Eulemur albifrons","Syzygium",6.9,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-23,10
"104","Eulemur albifrons","Syzygium",7.15,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-08-07,25
"105","Eulemur albifrons","Syzygium",6.12,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-26,13
"106","Eulemur albifrons","Syzygium",5.42,"Gut Passed, Unwashed","0","1","",2023-07-13,2023-07-26,13
"107",NA,"Cryptocaria",15.01,"Gut Passed, Unwashed","0","1","",2023-07-15,2023-08-16,32
"108",NA,"Syzygium",6.85,"Gut Passed, Unwashed","0","0","",2023-07-15,NA,100
"109",NA,"Syzygium",9.28,"Gut Passed, Unwashed","0","1","",2023-07-15,2023-08-16,32
"110",NA,"Syzygium",9.19,"Gut Passed, Unwashed","0","1","",2023-07-15,2023-07-29,14
"111",NA,"Syzygium",7.04,"Gut Passed, Unwashed","0","1","",2023-07-15,2023-08-04,20
"112",NA,"Syzygium",9.67,"Gut Passed, Unwashed","0","1","",2023-07-15,2023-08-10,26
"113",NA,"Syzygium",7.67,"Gut Passed, Unwashed","0","1","",2023-07-15,2023-08-10,26
"114",NA,"Syzygium",9.36,"Gut Passed, Unwashed","0","1","",2023-07-15,2023-08-04,20
"115",NA,"Syzygium",6.57,"Gut Passed, Unwashed","0","1","",2023-07-15,2023-08-04,20
"116",NA,"Cryptocaria",16.03,"Gut Passed, Unwashed","0","1","",2023-07-15,2023-08-16,32
"117",NA,"Cryptocaria",14.46,"Gut Passed, Unwashed","0","1","",2023-07-15,2023-08-28,44
"118",NA,"Cryptocaria",16.05,"Gut Passed, Unwashed","0","1","",2023-07-15,2023-08-16,32
